year,state_po,county
2016,KS,Osage
2016,KS,Osborne
2016,KS,Ottawa
2016,KS,Pawnee
2016,KS,Phillips
2016,KS,Pottawatomie
2016,KS,Pratt
2016,KS,Rawlins
2016,KS,Reno
2016,KS,Republic
2016,KS,Rice
2016,KS,Riley
2016,KS,Rooks
2016,KS,Rush
2016,KS,Russell
2016,KS,Saline
2016,KS,Scott
2016,KS,Sedgwick
2016,KS,Seward
2016,KS,Shawnee
2016,KS,Sheridan
2016,KS,Sherman
2016,KS,Smith
2016,KS,Stafford
2016,KS,Stanton
2016,KS,Stevens
2016,KS,Sumner
2016,KS,Thomas
2016,KS,Trego
2016,KS,Wabaunsee
2016,KS,Wallace
2016,KS,Washington
2016,KS,Wichita
2016,KS,Wilson
2016,KS,Woodson
2016,KS,Wyandotte
2016,KY,Adair
2016,KY,Allen
2016,KY,Anderson
2016,KY,Ballard
2016,KY,Barren
2016,KY,Bath
2016,KY,Bell
2016,KY,Boone
2016,KY,Bourbon
2016,KY,Boyd
2016,KY,Boyle
2016,KY,Bracken
2016,KY,Breathitt
2016,KY,Breckinridge
2016,KY,Bullitt
2016,KY,Butler
2016,KY,Caldwell
2016,KY,Calloway
2016,KY,Campbell
2016,KY,Carlisle
2016,KY,Carroll
2016,KY,Carter
2016,KY,Casey
2016,KY,Christian
2016,KY,Clark
2016,KY,Clay
2016,KY,Clinton
2016,KY,Crittenden
2016,KY,Cumberland
2016,KY,Daviess
2016,KY,Edmonson
2016,KY,Elliott
2016,KY,Estill
2016,KY,Fayette
2016,KY,Fleming
2016,KY,Floyd
2016,KY,Franklin
2016,KY,Fulton
2016,KY,Gallatin
2016,KY,Garrard
2016,KY,Grant
2016,KY,Graves
2016,KY,Grayson
2016,KY,Green
2016,KY,Greenup
2016,KY,Hancock
2016,KY,Hardin
2016,KY,Harlan
2016,KY,Harrison
2016,KY,Hart
2016,KY,Henderson
2016,KY,Henry
2016,KY,Hickman
2016,KY,Hopkins
2016,KY,Jackson
2016,KY,Jefferson
2016,KY,Jessamine
2016,KY,Johnson
2016,KY,Kenton
2016,KY,Knott
2016,KY,Knox
2016,KY,Larue
2016,KY,Laurel
2016,KY,Lawrence
2016,KY,Lee
2016,KY,Leslie
2016,KY,Letcher
2016,KY,Lewis
2016,KY,Lincoln
2016,KY,Livingston
2016,KY,Logan
2016,KY,Lyon
2016,KY,McCracken
2016,KY,McCreary
2016,KY,McLean
2016,KY,Madison
2016,KY,Magoffin
2016,KY,Marion
2016,KY,Marshall
2016,KY,Martin
2016,KY,Mason
2016,KY,Meade
2016,KY,Menifee
2016,KY,Mercer
2016,KY,Metcalfe
2016,KY,Monroe
2016,KY,Montgomery
2016,KY,Morgan
2016,KY,Muhlenberg
2016,KY,Nelson
2016,KY,Nicholas
2016,KY,Ohio
2016,KY,Oldham
2016,KY,Owen
2016,KY,Owsley
2016,KY,Pendleton
2016,KY,Perry
2016,KY,Pike
2016,KY,Powell
2016,KY,Pulaski
2016,KY,Robertson
